COMPL;CODE;D_CODE
01C16;S071;
01C17;A748;
01C17;A749;
01C17;B003;
01C17;B004;
01C17;B007;
01C17;B008;
01C17;B009;
01C17;B022;
01C17;B027;
01C17;B028;
01C17;B029;
01C17;B948;
01C17;B949;
01C17;G020;B021
01C17;G051;B020
01C17;G530;
01C21;A178;
01C21;A179;
01C21;A188;
01C21;A318;
01C21;A319;
01C21;A493;
01C21;A498;
01C21;A498A;
01C21;A498W;
01C21;A499;
01C21;B900;
01C22;A171;
01C22;A178;
01C22;A399;
01C22;A493;
01C22;A498;
01C22;A498A;
01C22;A498W;
01C22;A499;
01C22;A748;
01C22;A749;
01C22;B948;
01C22;B949;
01C22;G01;A022
01C22;G01;A170
01C22;G01;A504
01C22;G01;A514
01C22;G01;A521
01C22;G01;A548
01C22;G01;A692
01C22;G019;A022
01C22;G019;A170
01C22;G019;A504
01C22;G019;A514
01C22;G019;A521
01C22;G019;A548
01C22;G019;A692
01C22;G020;A870
01C22;G020;A871
01C22;G020;B003
01C22;G020;B010
01C22;G020;B021
01C22;G020;B051
01C22;G020;B261
01C22;G020;B279
01C22;G021;
01C22;G028;
01C22;G09;
01C22;G099;
01C22;G610;
01C22;G611;
01C22;G98;
01C22;G989;
01C22;G998;A179
01C23;A170;
01C23;A171;
01C23;A178;
01C23;A179;
01C23;A188;
01C23;A318;
01C23;A319;
01C23;A493;
01C23;A870;
01C23;A870A;
01C23;A870B;
01C23;A870W;
01C23;A871;
01C23;A872;
01C23;A878;
01C23;A879;
01C23;B588;
01C23;B900;
01C23;B949;
01C23;G000;
01C23;G001;
01C23;G002;
01C23;G003;
01C23;G008;
01C23;G008A;
01C23;G008B;
01C23;G008W;
01C23;G009;
01C23;G01;
01C23;G019;
01C23;G020;
01C23;G021;
01C23;G028;
01C23;G030;
01C23;G031;
01C23;G032;
01C23;G038;
01C23;G039;
01C23;G052;B582
01C23;G619;
01C23;G938;
01C23;G939;
01C25;A170;
01C25;A318;
01C25;A319;
01C25;A390;
01C25;A398;
01C25;A399;
01C25;A493;
