CODE;D_CODE;VARTYPE;VARVAL
Z460;;DGPROP;02X99
Z461;;DGCAT;03M99
Z461;;MDC;3
Z461;;DGPROP;03X99
Z462;;DGCAT;01M99
Z462;;MDC;1
Z462;;DGPROP;01X99
Z463;;DGCAT;03M99
Z463;;MDC;3
Z463;;DGPROP;03X99
Z464;;DGCAT;03M99
Z464;;MDC;3
Z464;;DGPROP;03X99
Z465;;DGCAT;06M99
Z465;;MDC;6
Z465;;DGPROP;06X99
Z466;;DGCAT;11M99
Z466;;MDC;11
Z466;;DGPROP;11X99
Z467;;DGCAT;08M13
Z467;;MDC;8
Z467;;DGPROP;08X99
Z468;;DGCAT;23M99
Z468;;MDC;23
Z469;;DGCAT;23M99
Z469;;MDC;23
Z470;;DGCAT;08M13
Z470;;MDC;8
Z470;;DGPROP;08X99
Z478;;DGCAT;08M13
Z478;;MDC;8
Z478;;DGPROP;08X99
Z479;;DGCAT;08M13
Z479;;MDC;8
Z479;;DGPROP;08X99
Z480;;DGCAT;23M99
Z480;;MDC;23
Z488;;DGCAT;23M03
Z488;;MDC;23
Z489;;DGCAT;23M03
Z489;;MDC;23
Z490;;DGCAT;11M02
Z490;;MDC;11
Z490;;DGPROP;11X99
Z491;;DGCAT;11M02
Z491;;MDC;11
Z491;;DGPROP;11X99
Z492;;DGCAT;11M02
Z492;;MDC;11
Z492;;DGPROP;11X99
Z500;;DGCAT;23M01
Z500;;MDC;23
Z500;;DGPROP;23X20
Z500;;PDGPRO;05P10
Z501;;DGCAT;23M01
Z501;;MDC;23
Z501;;DGPROP;23X20
Z502;;DGCAT;19M20
Z502;;MDC;19
Z502;;DGPROP;19X99
Z502;;DGPROP;23X20
Z503;;DGCAT;19M20
Z503;;MDC;19
Z503;;DGPROP;19X99
Z503;;DGPROP;23X20
Z504;;DGCAT;23M01
Z504;;MDC;23
Z504;;DGPROP;23X20
Z505;;DGCAT;23M01
Z505;;MDC;23
Z505;;DGPROP;23X20
Z506;;DGCAT;23M99
Z506;;MDC;23
Z506;;DGPROP;23X20
Z507;;DGCAT;23M01
Z507;;MDC;23
Z507;;DGPROP;23X20
Z508;;DGCAT;23M01
Z508;;MDC;23
Z508;;DGPROP;23X20
Z509;;DGCAT;23M01
Z509;;MDC;23
Z509;;DGPROP;23X20
Z510;;DGCAT;17M10
Z510;;MDC;17
Z510;;DGPROP;17X99
Z511;;DGCAT;17M11
Z511;;MDC;17
Z511;;DGPROP;17X99
Z511;;DGPROP;23X01
Z512;;DGCAT;17M11
Z512;;MDC;17
Z512;;DGPROP;17X99
Z513;;DGCAT;23M99
Z513;;MDC;23
Z514;;DGCAT;23M99
Z514;;MDC;23
Z515;;DGCAT;23M03
Z515;;MDC;23
Z516;;DGCAT;23M99
Z516;;MDC;23
Z518;;DGCAT;23M99
Z518;;MDC;23
Z519;;DGCAT;23M99
Z519;;MDC;23
Z520;;DGCAT;23M99
Z520;;MDC;23
Z521;;DGCAT;09M99
Z521;;MDC;9
Z521;;DGPROP;09X99
Z522;;DGCAT;08M99
Z522;;MDC;8
Z522;;DGPROP;08X99
Z523;;DGCAT;23M99
Z523;;MDC;23
Z524;;DGCAT;11M99
Z524;;MDC;11
Z524;;DGPROP;11X99
Z525;;DGCAT;23M99
Z525;;MDC;23
Z526;;DGCAT;23M99
Z526;;MDC;23
Z527;;DGCAT;23M99
Z527;;MDC;23
Z528;;DGCAT;23M99
Z528;;MDC;23
Z529;;DGCAT;23M99
Z529;;MDC;23
Z530;;DGCAT;23M99
Z530;;MDC;23
Z531;;DGCAT;23M99
Z531;;MDC;23
Z532;;DGCAT;23M99
Z532;;MDC;23
Z538;;DGCAT;23M99
Z538;;MDC;23
Z539;;DGCAT;23M99
Z539;;MDC;23
Z540;;DGCAT;23M99
Z540;;MDC;23
Z541;;DGCAT;23M99
Z541;;MDC;23
Z542;;DGCAT;23M99
Z542;;MDC;23
Z543;;DGCAT;23M99
Z543;;MDC;23
Z544;;DGCAT;23M99
Z544;;MDC;23
Z547;;DGCAT;23M99
Z547;;MDC;23
Z548;;DGCAT;23M99
Z548;;MDC;23
Z549;;DGCAT;23M99
Z549;;MDC;23
Z550;;DGCAT;23M99
Z550;;MDC;23
Z551;;DGCAT;23M99
Z551;;MDC;23
Z552;;DGCAT;23M99
Z552;;MDC;23
Z553;;DGCAT;23M99
Z553;;MDC;23
Z554;;DGCAT;23M99
Z554;;MDC;23
Z558;;DGCAT;23M99
Z558;;MDC;23
Z559;;DGCAT;23M99
Z559;;MDC;23
Z560;;DGCAT;23M99
Z560;;MDC;23
Z561;;DGCAT;23M99
Z561;;MDC;23
Z562;;DGCAT;23M99
Z562;;MDC;23
Z563;;DGCAT;23M99
Z563;;MDC;23
Z564;;DGCAT;23M99
Z564;;MDC;23
Z565;;DGCAT;23M99
Z565;;MDC;23
Z566;;DGCAT;23M99
Z566;;MDC;23
Z567;;DGCAT;23M99
Z567;;MDC;23
Z570;;DGCAT;23M99
Z570;;MDC;23
Z571;;DGCAT;23M99
Z571;;MDC;23
Z572;;DGCAT;23M99
Z572;;MDC;23
Z573;;DGCAT;23M99
Z573;;MDC;23
Z574;;DGCAT;23M99
Z574;;MDC;23
Z575;;DGCAT;23M99
Z575;;MDC;23
Z576;;DGCAT;23M99
Z576;;MDC;23
Z577;;DGCAT;23M99
Z577;;MDC;23
Z578;;DGCAT;23M99
Z578;;MDC;23
Z579;;DGCAT;23M99
Z579;;MDC;23
Z580;;DGCAT;23M99
Z580;;MDC;23
Z581;;DGCAT;23M99
Z581;;MDC;23
Z582;;DGCAT;23M99
Z582;;MDC;23
Z583;;DGCAT;23M99
Z583;;MDC;23
Z584;;DGCAT;23M99
Z584;;MDC;23
Z585;;DGCAT;23M99
Z585;;MDC;23
Z586;;DGCAT;23M99
Z586;;MDC;23
Z587;;DGCAT;23M99
Z587;;MDC;23
Z588;;DGCAT;23M99
Z588;;MDC;23
Z589;;DGCAT;23M99
Z589;;MDC;23
Z590;;DGCAT;23M99
Z590;;MDC;23
Z591;;DGCAT;23M99
Z591;;MDC;23
Z592;;DGCAT;23M99
Z592;;MDC;23
Z593;;DGCAT;23M99
Z593;;MDC;23
Z594;;DGCAT;23M99
Z594;;MDC;23
Z595;;DGCAT;23M99
Z595;;MDC;23
Z596;;DGCAT;23M99
Z596;;MDC;23
Z597;;DGCAT;23M99
Z597;;MDC;23
Z598;;DGCAT;23M99
Z598;;MDC;23
Z599;;DGCAT;23M99
Z599;;MDC;23
Z600;;DGCAT;23M99
Z600;;MDC;23
Z601;;DGCAT;23M99
Z601;;MDC;23
Z602;;DGCAT;23M99
Z602;;MDC;23
Z603;;DGCAT;23M99
Z603;;MDC;23
Z604;;DGCAT;23M99
Z604;;MDC;23
Z605;;DGCAT;23M99
Z605;;MDC;23
Z608;;DGCAT;23M99
Z608;;MDC;23
Z609;;DGCAT;23M99
Z609;;MDC;23
Z610;;DGCAT;23M99
Z610;;MDC;23
Z611;;DGCAT;23M99
Z611;;MDC;23
Z612;;DGCAT;23M99
Z612;;MDC;23
Z613;;DGCAT;23M99
Z613;;MDC;23
Z614;;DGCAT;23M99
Z614;;MDC;23
Z615;;DGCAT;23M99
Z615;;MDC;23
Z616;;DGCAT;23M99
Z616;;MDC;23
Z617;;DGCAT;23M99
Z617;;MDC;23
Z618;;DGCAT;23M99
Z618;;MDC;23
Z619;;DGCAT;23M99
Z619;;MDC;23
Z620;;DGCAT;23M99
Z620;;MDC;23
Z621;;DGCAT;23M99
Z621;;MDC;23
Z622;;DGCAT;23M99
Z622;;MDC;23
Z623;;DGCAT;23M99
Z623;;MDC;23
Z624;;DGCAT;23M99
Z624;;MDC;23
Z625;;DGCAT;23M99
Z625;;MDC;23
Z626;;DGCAT;23M99
Z626;;MDC;23
Z628;;DGCAT;23M99
Z628;;MDC;23
Z629;;DGCAT;23M99
Z629;;MDC;23
Z630;;DGCAT;23M99
Z630;;MDC;23
Z631;;DGCAT;23M99
Z631;;MDC;23
Z632;;DGCAT;23M99
Z632;;MDC;23
Z633;;DGCAT;23M99
Z633;;MDC;23
Z634;;DGCAT;23M99
Z634;;MDC;23
Z635;;DGCAT;23M99
Z635;;MDC;23
Z636;;DGCAT;23M99
Z636;;MDC;23
Z637;;DGCAT;23M99
Z637;;MDC;23
Z638;;DGCAT;23M99
Z638;;MDC;23
Z639;;DGCAT;23M99
Z639;;MDC;23
Z640;;DGCAT;14M99
Z640;;MDC;14
Z640;;DGPROP;14X99
Z641;;DGCAT;13M99
Z641;;MDC;13
Z641;;DGPROP;13X99
Z642;;DGCAT;23M99
Z642;;MDC;23
Z643;;DGCAT;23M99
Z643;;MDC;23
Z644;;DGCAT;23M99
Z644;;MDC;23
Z650;;DGCAT;23M99
Z650;;MDC;23
Z651;;DGCAT;23M99
Z651;;MDC;23
Z652;;DGCAT;23M99
Z652;;MDC;23
Z653;;DGCAT;23M99
Z653;;MDC;23
Z654;;DGCAT;23M99
Z654;;MDC;23
Z655;;DGCAT;23M99
Z655;;MDC;23
Z658;;DGCAT;23M99
Z658;;MDC;23
Z659;;DGCAT;23M99
Z659;;MDC;23
Z700;;DGCAT;23M99
Z700;;MDC;23
Z701;;DGCAT;23M99
Z701;;MDC;23
Z702;;DGCAT;23M99
Z702;;MDC;23
Z703;;DGCAT;23M99
Z703;;MDC;23
Z708;;DGCAT;23M99
Z708;;MDC;23
Z709;;DGCAT;23M99
Z709;;MDC;23
Z710;;DGCAT;23M99
Z710;;MDC;23
Z711;;DGCAT;23M99
Z711;;MDC;23
Z712;;DGCAT;23M99
Z712;;MDC;23
Z713;;DGCAT;23M99
Z713;;MDC;23
Z714;;DGCAT;19M99
Z714;;MDC;19
Z714;;DGPROP;19X99
Z715;;DGCAT;19M99
Z715;;MDC;19
Z715;;DGPROP;19X99
Z716;;DGCAT;23M99
Z716;;MDC;23
Z717;;DGCAT;18M99
Z717;;MDC;18
Z717;;DGPROP;18X99
Z718;;DGCAT;23M99
Z718;;MDC;23
Z719;;DGCAT;23M99
Z719;;MDC;23
Z720;;DGCAT;23M99
Z720;;MDC;23
Z720A;;DGCAT;23M99
Z720A;;MDC;23
Z720B;;DGCAT;23M99
Z720B;;MDC;23
Z720W;;DGCAT;23M99
Z720W;;MDC;23
Z721;;DGCAT;23M99
Z721;;MDC;23
Z722;;DGCAT;23M99
Z722;;MDC;23
Z723;;DGCAT;23M99
Z723;;MDC;23
Z724;;DGCAT;23M99
Z724;;MDC;23
Z725;;DGCAT;23M99
Z725;;MDC;23
Z726;;DGCAT;19M99
Z726;;MDC;19
Z726;;DGPROP;19X99
Z728;;DGCAT;23M99
Z728;;MDC;23
Z729;;DGCAT;23M99
Z729;;MDC;23
Z730;;DGCAT;19M99
Z730;;MDC;19
